task_id;csaf_id;playbook_id;twin;source;manual;detected_actions;actual_actions;actions_missing;missing_actions;useless_steps;matched_wrong_pattern;matched_no_pattern;nlp_error;nlp_error_information;update_step;investigation_step;locating_step;data_operation_step;isolation_step;access_action_step;system_action_step;set_entity_step;traffic_action_step;observe_behavior_step
62c3f0af99cf2533865878f0;62c3f0af99cf253386587854;62c44b3e4466fa24127b01f7;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;2;4;2;"Deactivate the OPC UA Service if supported by the product; Use VPN for protecting network communication between cells";0;0;2;0;;2;0;0;0;0;0;0;0;0;0
62c3f0af99cf253386587852;62c3f0ae99cf253386587532;62c44b3e4466fa24127b018b;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;10;13;3;"Apply cell protection concept: https://www.siemens.com/cert/operational-guidelines-industrial-security.; Use VPN for protecting network communication between cells.; For SIMATIC Teleservice Adapters (IE Basic, IE Standard, IE Advanced): migrate to a successor product within the SCALANCE M-800 family. For details refer to the notice of discontinuation.";0;0;3;1;"Update to V3.X.14 [ ""SIMATIC S7-300 CPU family (incl. related ET200 CPUs and SIPLUS variants)"" ] (cut to V3)";10;0;0;0;0;0;0;0;0;0
62c3f0ae99cf253386587530;62c3f0ae99cf2533865874be;62c44b3d4466fa24127b009c;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;3;3;0;;0;0;0;0;;3;0;0;0;0;0;0;0;0;0
62c3f0ae99cf2533865874bc;62c3f0ae99cf253386586ef5;62c44b3d4466fa24127b0051;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;1;1;0;;0;0;0;0;;1;0;0;0;0;0;0;0;0;0
62c3f0ae99cf253386586ef3;62c3f0ae99cf253386586c8a;62c44b3d4466fa24127afe87;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;2;2;0;;0;0;0;0;;2;0;0;0;0;0;0;0;0;0
62c3f0ae99cf253386586c88;62c3f0ae99cf2533865866c1;62c44b3d4466fa24127afdd8;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;1;1;0;;0;0;0;0;;1;0;0;0;0;0;0;0;0;0
62c3f0ae99cf2533865866bf;62c3f0ae99cf25338658664d;62c44b3d4466fa24127afc08;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;3;3;0;;0;0;0;0;;3;0;0;0;0;0;0;0;0;0
62c3f0ae99cf25338658664b;62c3f0ae99cf253386586568;62c44b3d4466fa24127afbb7;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;2;4;2;"As a prerequisite for an attack, an attacker must be able to run untrusted code on affected systems. Siemens recommends limiting the possibilities to run untrusted code if possible.; Applying a Defense-in-Depth concept can help to reduce the probability that untrusted code is run on the system. Siemens recommends to apply the Defense-in-Depth concept: https://www.siemens.com/industrialsecurity";0;0;2;0;;2;0;0;0;0;0;0;0;0;0
62c3f0ae99cf253386586566;62c3f0ae99cf2533865864be;;Ad2Play:Mock_Siemens;Siemens ProductCERT;TRUE;0;0;0;;0;0;0;0;;0;0;0;0;0;0;0;0;0;0
62c3f0ae99cf2533865864bc;62c3f0ae99cf25338658647d;;Ad2Play:Mock_Siemens;Siemens ProductCERT;TRUE;0;1;1;Avoid to run untrusted code on affected systems;0;0;1;0;;0;0;0;0;0;0;0;0;0;0
62c3f0ae99cf25338658647b;62c3f0ae99cf25338658603c;62c44b3d4466fa24127afb29;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;4;6;2;"Apply Defense-in-Depth; For SIMATIC Teleservice Adapters (IE Basic, IE Advanced): migrate to a successor product within the SCALANCE M-800 family. For details refer to the notice of discontinuation.";0;0;2;0;;3;0;0;0;0;1;0;0;0;0
62c3f0ae99cf25338658603a;62c3f0ae99cf253386585ede;62c44b3c4466fa24127afa17;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;1;2;1;As a prerequisite for an attack, an attacker must be able to run untrusted code on affected systems. Siemens recommends limiting the possibilities to run untrusted code if possible.;0;0;1;0;;1;0;0;0;0;0;0;0;0;0
62c3f0ae99cf253386585edc;62c3f0ae99cf253386585915;62c44b3c4466fa24127af995;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;1;1;0;;0;0;0;0;;1;0;0;0;0;0;0;0;0;0
62c3f0ae99cf253386585913;62c3f0ae99cf2533865858e3;62c44b3c4466fa24127af7d1;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;1;1;0;;0;0;0;0;;1;0;0;0;0;0;0;0;0;0
62c3f0ae99cf2533865858e1;62c3f0ae99cf253386585841;62c44b3c4466fa24127af79f;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;4;4;0;;0;0;0;0;;2;0;0;0;0;0;2;0;0;0
62c3f0ae99cf25338658583f;62c3f0ae99cf25338658579f;62c44b3c4466fa24127af749;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;4;4;0;;0;0;0;0;;2;0;0;0;0;0;2;0;0;0
62c3f0ae99cf25338658579d;62c3f0ad99cf2533865852ec;62c44b3c4466fa24127af6ed;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;5;5;0;;0;0;0;0;;3;0;0;0;0;0;1;0;1;0
62c3f0ad99cf2533865852ea;62c3f0ad99cf253386585081;62c44b3b4466fa24127af57c;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;2;2;0;;0;0;0;0;;2;0;0;0;0;0;0;0;0;0
62c3f0ad99cf25338658507f;62c3f0ad99cf253386584c63;62c44b3b4466fa24127af4c1;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;3;3;0;;0;0;0;0;;1;0;0;0;0;0;1;0;1;0
62c3f0ad99cf253386584c61;62c3f0ad99cf253386584bc1;62c44b3b4466fa24127af376;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;4;4;0;;0;0;0;0;;2;0;0;0;0;0;2;0;0;0
62c3f0ad99cf253386584bbf;62c3f0ad99cf253386584780;62c44b3b4466fa24127af320;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;4;6;2;"Apply Defense-in-Depth; For SIMATIC Teleservice Adapters (IE Basic, IE Advanced): migrate to a successor product within the SCALANCE M-800 family. For details refer to the notice of discontinuation.";0;0;2;0;;3;0;0;0;0;1;0;0;0;0
62c3f0ad99cf25338658477e;62c3f0ad99cf2533865846b0;62c44b3a4466fa24127af1e4;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;8;9;1;Deactivate the Windows service called _TraceConceptX_. This leads to loss of tracing functionality and should only be considered as a temporary workaround.;0;0;1;0;;7;0;1;0;0;0;0;0;0;0
62c3f0ad99cf2533865846ae;62c3f0ad99cf253386584552;62c44b3a4466fa24127af18f;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;1;2;1;As a prerequisite for an attack, an attacker must be able to run untrusted code on affected systems. Siemens recommends limiting the possibilities to run untrusted code if possible.;0;0;1;0;;1;0;0;0;0;0;0;0;0;0
62c3f0ad99cf253386584550;62c3f0ad99cf2533865844b4;62c44b3a4466fa24127af107;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;2;4;2;"Deactivate the OPC UA Service if supported by the product; Use VPN for protecting network communication between cells";0;0;2;0;;2;0;0;0;0;0;0;0;0;0
62c3f0ad99cf2533865844b2;62c3f0ad99cf253386584452;62c44b3a4466fa24127af0d1;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;1;1;0;;0;0;0;0;;1;0;0;0;0;0;0;0;0;0
62c3f0ad99cf253386584450;62c3f0ad99cf253386583e89;62c44b3a4466fa24127af0a8;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;1;1;0;;0;0;0;0;;1;0;0;0;0;0;0;0;0;0
62c3f0ad99cf253386583e87;62c3f0ad99cf253386583e4c;62c44b3a4466fa24127aeede;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;2;2;0;;0;0;0;0;;1;0;0;0;0;1;0;0;0;0
62c3f0ad99cf253386583e4a;62c3f0ad99cf253386583d64;62c44b3a4466fa24127aeeac;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;3;3;0;;0;0;0;0;;2;0;0;0;0;1;0;0;0;0
62c3f0ad99cf253386583d62;62c3f0ad99cf253386583d29;62c44b3a4466fa24127aee33;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;6;4;0;;2;1;0;1;;5;0;0;0;0;0;0;1;0;0
62c3f0ad99cf253386583d27;62c3f0ad99cf253386583abe;62c44b3a4466fa24127aedf4;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;2;2;0;;0;0;0;0;;2;0;0;0;0;0;0;0;0;0
62c3f0ad99cf253386583abc;62c3f0ad99cf2533865839d9;62c44b3a4466fa24127aed3f;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;2;4;2;"As a prerequisite for an attack, an attacker must be able to run untrusted code on affected systems. Siemens recommends limiting the possibilities to run untrusted code if possible.; Applying a Defense-in-Depth concept can help to reduce the probability that untrusted code is run on the system. Siemens recommends to apply the Defense-in-Depth concept: https://www.siemens.com/industrialsecurity";0;0;2;0;;2;0;0;0;0;0;0;0;0;0
62c3f0ad99cf2533865839d7;62c3f0ad99cf253386583598;62c44b3a4466fa24127aecee;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;4;6;2;"Apply Defense-in-Depth; For SIMATIC Teleservice Adapters (IE Basic, IE Advanced): migrate to a successor product within the SCALANCE M-800 family. For details refer to the notice of discontinuation.";0;0;2;0;;3;0;0;0;0;1;0;0;0;0
62c3f0ad99cf253386583596;62c3f0ac99cf253386582fcf;62c44b394466fa24127aebdc;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;1;1;0;;0;0;0;0;;1;0;0;0;0;0;0;0;0;0
62c3f0ac99cf253386582fcd;62c3f0ac99cf253386582a06;62c44b394466fa24127aea18;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;1;1;0;;0;0;0;0;;1;0;0;0;0;0;0;0;0;0
62c3f0ac99cf253386582a04;62c3f0ac99cf25338658291e;62c44b394466fa24127ae848;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;3;3;0;;0;0;0;0;;2;0;0;0;0;1;0;0;0;0
62c3f0ac99cf25338658291c;62c3f0ac99cf2533865824dd;62c44b394466fa24127ae7db;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;4;6;2;"Apply Defense-in-Depth; For SIMATIC Teleservice Adapters (IE Basic, IE Advanced): migrate to a successor product within the SCALANCE M-800 family. For details refer to the notice of discontinuation.";0;0;2;0;;3;0;0;0;0;1;0;0;0;0
62c3f0ac99cf2533865824db;62c3f0ac99cf25338658233f;62c44b384466fa24127ae6b1;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;5;8;3;"Deactivate the webserver if not required, and if deactivation is supported by the product.; For SIMATIC Teleservice Adapters (IE Basic, IE Standard, IE Advanced): migrate to a successor product within the SCALANCE M-800 family. For details refer to the notice of discontinuation.; For SIMATIC RF182C and RFID 181EIP: migrate to a successor product within the SIMATIC RF18xC/CI family, V1.3 or later version. For details refer to the phase-out announcement.";0;0;4;1;"Update to V3.X.16 [ ""SIMATIC S7-300 CPU family (incl. related ET200 CPUs and SIPLUS variants)"" ] (cut to V3)";4;0;0;0;0;1;0;0;0;0
62c3f0ac99cf25338658233d;62c3f0ac99cf2533865822c4;62c44b384466fa24127ae61e;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;5;8;3;"Apply cell protection concept: https://www.siemens.com/cert/operational-guidelines-industrial-security.; Use VPN for protecting network communication between cells.; Apply Defense-in-Depth: https://www.siemens.com/cert/operational-guidelines-industrial-security.";0;0;3;1;"Update to V3.X.16 [ ""SIMATIC S7-300 CPU family (incl. related ET200 CPUs and SIPLUS variants)"" ] (cut to V3)";5;0;0;0;0;0;0;0;0;0
62c3f0ac99cf2533865822c2;62c3f0ac99cf253386582222;62c44b384466fa24127ae5d0;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;4;4;0;;0;0;0;0;;2;0;0;0;0;0;2;0;0;0
62c3f0ac99cf253386582220;62c3f0ac99cf253386581f91;;Ad2Play:Mock_Siemens;Siemens ProductCERT;TRUE;0;0;0;;0;0;0;0;;0;0;0;0;0;0;0;0;0;0
62c3f0ac99cf253386581f8f;62c3f0ac99cf253386581d26;62c44b384466fa24127ae4c1;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;2;2;0;;0;0;0;0;;2;0;0;0;0;0;0;0;0;0
62c3f0ac99cf253386581d24;62c3f0ab99cf253386581873;62c44b384466fa24127ae3fa;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;5;5;0;;0;0;0;0;;3;0;0;0;0;0;1;0;1;0
62c3f0ab99cf253386581871;62c3f0ab99cf2533865817f9;62c44b374466fa24127ae289;Ad2Play:Mock_Siemens;Siemens ProductCERT;FALSE;2;2;0;;0;0;0;0;;1;0;0;0;0;0;1;0;0;0
62c3f0a599cf2533865817f4;62c3f0a599cf2533865817cd;62c44b374466fa24127ae0bd;Ad2Play:Mock_Siemens;CISA ICS CERT;FALSE;68;13;2;"Use VPN for protecting network communication between cells; Apply defense-in-depth";55;0;2;0;;67;0;0;0;0;0;0;0;0;1
62c3f0a599cf2533865817cb;62c3f0a599cf2533865817a4;62c44b374466fa24127adf67;Ad2Play:Mock_Siemens;CISA ICS CERT;FALSE;9;5;5;"As a prerequisite for an attack, an attacker must be able to run untrusted code on affected systems; Siemens recommends limiting the possibilities to run untrusted code if possible; Applying a defense-in-depth concept can help to reduce the probability that untrusted code is run on the system; As a general security measure, Siemens strongly recommends protecting network access to devices with appropriate mechanisms; In order to operate the devices in a protected IT environment, Siemens recommends configuring the environment according to Siemens operational guidelines for Industrial Security, and following the recommendations in the product manuals";9;0;5;0;;8;0;0;0;0;0;0;0;0;1
62c3f0a599cf2533865817a2;62c3f0a599cf25338658177b;62c44b374466fa24127adf0f;Ad2Play:Mock_Siemens;CISA ICS CERT;FALSE;6;9;5;"As a general security measure, Siemens strongly recommends protecting network access to devices with appropriate mechanisms; To operate the devices in a protected IT environment, Siemens recommends configuring the environment according to Siemens operational guidelines for industrial security, and following the recommendations in the product manuals; CISA recommends users take defensive measures to minimize the risk of exploitation of these vulnerabilities; Specifically, users should:. Minimize network exposure for all control system devices and/or systems, and ensure they are not accessible from the Internet; Locate control system networks and remote devices behind firewalls and isolate them from the business network";2;0;5;0;;5;0;0;0;0;0;0;0;0;1
62c3f0a599cf253386581779;62c3f0a599cf253386581752;62c44b374466fa24127adecf;Ad2Play:Mock_Siemens;CISA ICS CERT;FALSE;4;3;2;"As a general security measure, Siemens strongly recommends protecting network access to devices with appropriate mechanisms; . In order to operate the devices in a protected IT environment, Siemens recommends configuring the environment according to Siemens operational guidelines for industrial security, and to follow the recommendations in the product manuals";3;0;2;0;;3;0;0;0;0;0;0;0;0;1
62c3f0a599cf253386581750;62c3f0a599cf253386581729;62c44b374466fa24127ade49;Ad2Play:Mock_Siemens;CISA ICS CERT;FALSE;17;10;7;"Deactivate the OPC UA Service if supported by the product; Apply cell protection concept; .. Use VPN for protecting network communication between cells; Apply Defense-in-Depth; Siemens recommends users configure their environment according to Siemens operational guidelines for Industrial Security (Download) and follow the recommendations in the product manuals; Minimize network exposure for all control system devices and/or systems, and ensure they are not accessible from the Internet; Locate control system networks and remote devices behind firewalls and isolate them from the business network";14;0;7;0;;16;0;0;0;0;0;0;0;0;1
62c3f0a599cf253386581727;62c3f0a599cf253386581700;62c44b374466fa24127addbf;Ad2Play:Mock_Siemens;CISA ICS CERT;FALSE;9;7;6;"Apply defense-in-depth; As a general security measure, Siemens strongly recommends protecting network access to devices with appropriate mechanisms; Siemens recommends users configure their environment according to the Siemens Operational Guidelines for Industrial Security and follow the recommendations in the product manuals to operate the devices in a protected environment; CISA recommends users take defensive measures to minimize the risk of exploitation of this vulnerability; Specifically, users should:. Ensure that control system equipment is physically protected (e.g., in locked control panels); Implement physical access control to areas in which control system devices are located";8;0;6;0;;8;0;0;0;0;0;0;0;0;1
62c3f0a599cf2533865816fe;62c3f0a599cf2533865816d7;62c44b374466fa24127adcdd;Ad2Play:Mock_Siemens;CISA ICS CERT;FALSE;29;11;4;"Ensure there is no executable at the following locations:. C:\Program.exe. C:\Program Files\Common.exe. C:\Program Files\Common Files\Siemens\Automation\Simatic.exe; Deactivate the Windows service called TraceConceptX; As a general security measure, Siemens strongly recommends protecting network access to devices with appropriate mechanisms; In order to operate the devices in a protected IT environment, Siemens recommends configuring the environment according to the Siemens operational guidelines for Industrial Security and following the recommendations in the product manuals";22;0;4;0;;28;0;0;0;0;0;0;0;0;1
62c3f0a599cf2533865816d5;62c3f0a599cf2533865816ae;62c44b374466fa24127adb39;Ad2Play:Mock_Siemens;CISA ICS CERT;FALSE;48;9;6;"As a general security measure, Siemens strongly recommends protecting network access to devices with appropriate mechanisms; In order to operate the devices in a protected IT environment, Siemens recommends configuring the environment according to Siemens operational guidelines for Industrial Security, and to follow the recommendations in the product manuals; CISA recommends users take defensive measures to minimize the risk of exploitation of this vulnerability; . Specifically, users should:. Minimize network exposure for all control system devices and/or systems, and ensure that they are not accessible from the Internet; Locate control system networks and remote devices behind firewalls, and isolate them from the business network; When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available";44;0;6;0;;45;0;0;0;0;0;1;0;1;1
62c3f0a599cf2533865816ac;62c3f0a599cf253386581685;62c44b374466fa24127ada39;Ad2Play:Mock_Siemens;CISA ICS CERT;FALSE;8;5;4;"As a general security measure, Siemens strongly recommends protecting network access to devices with appropriate mechanisms; . In order to operate the devices in a protected IT environment, Siemens recommends users configure the environment according to the Siemens operational guidelines for industrial security and follow the recommendations in the product manuals; CISA recommends users take defensive measures to minimize the risk of exploitation of these vulnerabilities; Specifically, users should:. Ensure the least-privilege user principle is followed";4;0;4;0;;8;0;0;0;0;0;0;0;0;0
62c3f0a599cf253386581683;62c3f0a499cf25338658165c;62c44b374466fa24127ad9d3;Ad2Play:Mock_Siemens;CISA ICS CERT;FALSE;9;13;6;"The PLC must be deleted and reconfigured with a new project; As a general security measure, Siemens strongly recommends protecting network access to devices with appropriate mechanisms; . In order to operate the devices in a protected IT environment, Siemens recommends users configure the environment according to the Siemens operational guidelines for industrial security and follow the recommendations in the product manuals; . CISA recommends users take defensive measures to minimize the risk of exploitation of this vulnerability; Specifically, users should:. Minimize network exposure for all control system devices and/or systems, and ensure they are not accessible from the Internet; Locate control system networks and remote devices behind firewalls and isolate them from the business network; ";2;0;6;0;;6;0;0;0;0;0;0;2;0;1
62c3f0a499cf25338658165a;62c3f0a499cf253386581633;62c44b374466fa24127ad98d;Ad2Play:Mock_Siemens;CISA ICS CERT;FALSE;3;6;5;"Apply defense-in-depth; Only build and run applications from trusted sources; CISA recommends users take defensive measures to minimize the risk of exploitation of this vulnerability; Specifically, users should:. Minimize network exposure for all control system devices and/or systems, and ensure they are not accessible from the Internet; .. Locate control system networks and remote devices behind firewalls and isolate them from the business network; ";2;0;5;0;;2;0;0;0;0;0;0;0;0;1
62c3f0a499cf253386581631;62c3f0a499cf25338658160a;62c44b374466fa24127ad94d;Ad2Play:Mock_Siemens;CISA ICS CERT;FALSE;6;8;5;"As a general security measure, Siemens strongly recommends protecting network access to devices with appropriate mechanisms; In order to operate the devices in a protected IT environment, Siemens recommends configuring the environment according to the Siemens operational guidelines for industrial security and following the recommendations in the product manuals; CISA recommends users take defensive measures to minimize the risk of exploitation of this vulnerability; Specifically, users should:. Minimize network exposure for all control system devices and/or systems, and ensure they are not accessible from the Internet; .. Locate control system networks and remote devices behind firewalls and isolate them from the business network";3;0;5;0;;4;0;0;0;0;1;0;0;0;1
62c3f0a499cf253386581608;62c3f0a499cf2533865815e1;62c44b374466fa24127ad86b;Ad2Play:Mock_Siemens;CISA ICS CERT;FALSE;31;11;7;"Apply defense-in-depth; For SIMATIC Teleservice Adapters (IE Basic, IE Advanced): migrate to a successor product within the SCALANCE M-800 family. For details refer to the notice of discontinuation; As a general security measure, Siemens strongly recommends users protect network access to devices with As a general security measure, Siemens recommends protecting network access to devices with appropriate mechanisms; To operate the devices in a protected IT environment, Siemens recommends configuring the environment according to Siemens operational guidelines for industrial security and following recommendations in the product manuals; CISA recommends users take defensive measures to minimize the risk of exploitation of these vulnerabilities; Specifically, users should:. Minimize network exposure for all control system devices and/or systems, and ensure they are not accessible from the Internet; .. Locate control system networks and remote devices behind firewalls and isolate them from the business network";27;0;7;0;;29;0;0;0;0;1;0;0;0;1
62c3f0a499cf2533865815df;62c3f0a499cf2533865815b8;62c44b374466fa24127ad7cd;Ad2Play:Mock_Siemens;CISA ICS CERT;FALSE;3;5;4;"As a general security measure, Siemens strongly recommends protecting network access to devices with appropriate mechanisms; In order to operate the devices in a protected IT environment, Siemens recommends configuring the environment according to Siemens operational guidelines for industrial security, and to follow the recommendations in the product manuals; CISA recommends users take defensive measures to minimize the risk of exploitation of this vulnerability. Specifically, users should:. Minimize network exposure for all control system devices and/or systems, and ensure they are not accessible from the Internet; .. Locate control system networks and remote devices behind firewalls and isolate them from the business network";2;0;4;0;;2;0;0;0;0;0;0;0;0;1
62c3f0a499cf2533865815b6;62c3f0a499cf25338658158f;62c44b364466fa24127ad745;Ad2Play:Mock_Siemens;CISA ICS CERT;FALSE;18;7;5;"Siemens recommends limiting the possibilities to run untrusted code; Siemens recommends applying the defense-in-depth concept to reduce the probability for untrusted code to run on the system; As a general security measure, Siemens recommends protecting network access to devices with appropriate mechanisms; To operate the devices in a protected IT environment, Siemens recommends configuring the environment according to Siemens operational guidelines for industrial security and following recommendations in the product manuals; CISA recommends users take defensive measures to minimize the risk of exploitation of this vulnerability";16;0;5;0;;17;0;0;0;0;0;0;0;0;1
62c3f0a499cf25338658158d;62c3f0a499cf253386581566;62c44b364466fa24127ad63f;Ad2Play:Mock_Siemens;CISA ICS CERT;FALSE;29;8;5;"As a general security measure, Siemens strongly recommends users protect network access to devices with appropriate mechanisms; In order to operate the devices in a protected IT environment, Siemens recommends users configure the environment according to Siemens operational guidelines for Industrial Security, and follow the recommendations in the product manuals; CISA recommends users take defensive measures to minimize the risk of exploitation of this vulnerability; Specifically, users should:. Minimize network exposure for all control system devices and/or systems, and ensure they are not accessible from the Internet; .. Locate control system networks and remote devices behind firewalls and isolate them from the business network";26;0;5;0;;26;0;0;0;0;0;1;0;1;1
62c3f0a499cf253386581564;62c3f0a499cf25338658153d;62c44b364466fa24127ad591;Ad2Play:Mock_Siemens;CISA ICS CERT;FALSE;7;9;5;"As a general security measure, Siemens strongly recommends protecting network access to devices with appropriate mechanisms; In order to operate the devices in a protected IT environment, Siemens recommends configuring the environment according to the Siemens operational guidelines for Industrial Security and following the recommendations in the product manuals; CISA recommends users take defensive measures to minimize the risk of exploitation of this vulnerability; Specifically, users should:. Minimize network exposure for all control system devices and/or systems, and ensure they are not accessible from the Internet; Locate control system networks and remote devices behind firewalls and isolate them from the business network";3;0;5;0;;6;0;0;0;0;0;0;0;0;1
